caseId,comment,frame,endFrame,sec,endSec
5013,Incision,240,408,4.004,6.807
5013,Incision,612,860,10.21,14.348
5013,Viscoelastic,1043,1519,17.401,25.342
5013,Capsulorhexis,1647,4358,27.477,72.706
5013,Hydrodissection,4491,5222,74.925,87.12
5013,Phacoemulsification,5503,10873,91.808,181.398
5013,Irrigation/Aspiration,11619,14943,193.844,249.299
5013,Capsule Pulishing,15189,15468,253.403,258.058
5013,Viscoelastic,15652,15941,261.128,265.949
5013,Lens Implantation,16166,16621,269.703,277.294
5013,Lens positioning,16735,16966,279.196,283.05
5013,Viscoelastic_Suction,17102,17823,285.319,297.347
5013,Anterior_Chamber Flushing,17973,18528,299.85,309.109
5013,Viscoelastic_Suction,18600,19082,310.31,318.352
5013,Tonifying/Antibiotics,19200,19809,320.32,330.48
5013,Tonifying/Antibiotics,19957,20182,332.95,336.703
